Date,Open,High,Low,Close,Adj Close,Volume
2013-01-01,520.000000,524.000000,517.599976,519.250000,467.821777,3563
2013-01-02,520.000000,520.049988,516.000000,518.950012,467.551453,233171
2013-01-03,520.000000,542.000000,518.349976,536.400024,483.273254,31111
2013-01-04,540.000000,543.849976,532.000000,537.299988,484.084076,14057
2013-01-07,538.000000,540.000000,529.200012,535.500000,482.462372,12605
2013-01-08,538.000000,538.000000,522.000000,529.450012,477.011536,12722
2013-01-09,550.000000,550.000000,525.099976,527.750000,475.479919,7777
2013-01-10,526.150024,533.000000,513.049988,521.849976,470.164246,77949
2013-01-11,525.000000,527.950012,514.000000,515.150024,464.127869,7535
2013-01-14,515.099976,534.750000,514.049988,527.200012,474.984375,20482
2013-01-15,530.000000,530.000000,516.000000,521.900024,470.209351,7249
2013-01-16,546.200012,546.200012,515.150024,518.000000,466.695618,14245
2013-01-17,520.099976,523.000000,503.500000,506.600006,456.424713,12022
2013-01-18,506.700012,506.700012,487.549988,491.750000,443.045471,26030
2013-01-21,492.000000,495.000000,486.049988,490.000000,441.468842,166764
2013-01-22,493.500000,495.000000,488.700012,492.149994,443.405853,106078
2013-01-23,493.049988,497.850006,491.250000,494.399994,445.433075,4285
2013-01-24,490.000000,502.000000,490.000000,497.350006,448.090851,15441
2013-01-25,501.500000,508.350006,486.750000,492.649994,443.856354,32976
2013-01-28,493.850006,500.000000,487.750000,489.899994,441.378754,10000
2013-01-29,490.299988,492.000000,485.100006,489.250000,440.793091,62826
2013-01-30,491.299988,491.299988,477.000000,479.000000,431.558289,67898
2013-01-31,483.700012,494.600006,480.500000,488.549988,440.162415,36236
2013-02-01,501.000000,526.000000,499.000000,502.350006,452.595642,75342
2013-02-04,502.799988,509.950012,501.350006,503.049988,453.226288,23170
2013-02-05,503.000000,508.000000,494.200012,497.549988,448.271027,23054
2013-02-06,502.149994,507.799988,501.850006,505.649994,455.568726,22805
2013-02-07,506.000000,522.000000,505.750000,510.899994,460.298798,1378119
2013-02-08,511.000000,521.650024,504.000000,508.049988,457.731110,36073
2013-02-11,508.549988,508.549988,499.399994,502.500000,457.230652,20446
2013-02-12,505.299988,506.899994,500.049988,501.149994,456.002258,6594
2013-02-13,505.850006,507.600006,486.850006,490.700012,446.493713,27698
2013-02-14,490.799988,493.700012,475.600006,483.450012,439.896820,25592
2013-02-15,480.799988,485.000000,469.549988,481.500000,438.122559,32142
2013-02-18,486.500000,499.899994,475.350006,497.700012,452.863068,21067
2013-02-19,497.149994,507.000000,496.250000,503.750000,458.368011,26291
2013-02-20,503.200012,515.000000,501.049988,503.049988,457.731110,117651
2013-02-21,503.000000,505.000000,492.100006,495.649994,450.997711,16847
2013-02-22,499.899994,545.000000,492.000000,493.750000,449.268951,4365
2013-02-25,497.000000,497.000000,479.450012,482.100006,438.668488,7275
2013-02-26,485.000000,486.399994,480.049988,481.350006,437.986023,3785
2013-02-27,485.950012,487.750000,481.000000,482.399994,438.941437,6772
2013-02-28,486.000000,486.000000,473.750000,479.850006,436.621124,182461
2013-03-01,480.000000,500.299988,475.649994,497.299988,452.499115,15222
2013-03-04,496.100006,503.149994,473.100006,485.700012,441.944153,21809
2013-03-05,488.000000,493.000000,482.000000,485.649994,441.898621,6864
2013-03-06,490.000000,491.000000,483.100006,486.100006,442.308105,3295
2013-03-07,486.000000,504.000000,486.000000,498.549988,453.636505,11337
2013-03-08,499.000000,509.049988,499.000000,503.899994,458.504517,110071
2013-03-11,505.600006,508.850006,495.100006,502.700012,457.412598,106038
2013-03-12,503.500000,508.649994,503.500000,505.950012,460.369812,6648
2013-03-13,503.200012,504.000000,492.100006,499.399994,454.409882,10900
2013-03-14,495.049988,503.000000,491.149994,500.500000,455.410797,8654
2013-03-15,503.950012,508.000000,488.000000,495.750000,451.088745,8271
2013-03-18,497.000000,503.950012,489.000000,492.049988,447.722076,5574
2013-03-19,494.000000,503.950012,490.100006,498.100006,453.227051,2991
2013-03-20,499.000000,503.799988,489.100006,496.649994,451.907654,9832
2013-03-21,499.850006,499.850006,489.450012,492.350006,447.995087,2689
2013-03-22,481.149994,492.000000,476.250000,479.450012,436.257202,10361
2013-03-25,481.000000,496.000000,476.100006,481.049988,437.712982,19790
2013-03-26,488.049988,491.000000,481.500000,485.049988,441.352722,25413
2013-03-28,485.049988,503.000000,483.500000,497.100006,452.317108,3901
2013-04-01,497.100006,504.000000,489.000000,500.250000,455.183350,6219
2013-04-02,500.299988,505.000000,495.049988,496.850006,452.089600,5022
2013-04-03,497.000000,503.399994,493.149994,499.549988,454.546387,6119
2013-04-04,493.000000,498.950012,491.500000,495.600006,450.952240,3338
2013-04-05,495.200012,503.950012,494.000000,499.100006,454.136932,10887
2013-04-08,499.000000,499.799988,494.000000,496.950012,452.180573,3266
2013-04-09,499.000000,508.000000,495.000000,498.549988,453.636505,60988
2013-04-10,503.399994,504.500000,487.549988,490.399994,446.220673,8189
2013-04-11,491.100006,495.649994,490.100006,490.549988,446.357117,1736
2013-04-12,490.600006,498.000000,488.100006,493.649994,449.177979,1538
2013-04-15,493.049988,498.700012,472.000000,482.350006,438.895905,5890
2013-04-16,486.000000,501.950012,484.450012,499.850006,454.819397,9808
2013-04-17,502.250000,503.799988,491.000000,500.950012,455.820313,84827
2013-04-18,492.549988,503.500000,492.549988,499.100006,454.136932,3212
2013-04-22,499.100006,510.000000,495.100006,506.149994,460.551819,5058
2013-04-23,508.000000,516.400024,507.250000,515.250000,468.832031,18695
2013-04-25,515.250000,521.000000,504.000000,507.750000,462.007629,9304
2013-04-26,510.000000,514.000000,505.850006,508.649994,462.826630,6321
2013-04-29,510.000000,520.799988,510.000000,515.049988,468.650055,11818
2013-04-30,516.099976,518.750000,506.049988,509.700012,463.782043,13222
2013-05-02,509.700012,525.000000,509.700012,520.549988,473.654541,15543
2013-05-03,516.549988,519.900024,512.000000,514.849976,468.468018,1837
2013-05-06,516.200012,522.000000,516.049988,518.799988,472.062225,4681
2013-05-07,521.000000,525.650024,516.000000,518.849976,472.107697,218023
2013-05-08,520.000000,524.000000,515.000000,518.599976,471.880219,5090
2013-05-09,519.000000,524.700012,516.500000,518.349976,471.652710,4198
2013-05-10,521.049988,530.349976,521.000000,522.549988,475.474457,20654
2013-05-13,525.099976,527.700012,510.100006,511.950012,465.829346,24133
2013-05-14,515.000000,521.900024,509.200012,510.549988,464.555450,7002
2013-05-15,514.000000,515.000000,501.549988,503.649994,458.277039,14494
2013-05-16,502.299988,508.299988,497.200012,499.149994,454.182434,15231
2013-05-17,499.399994,504.649994,483.899994,492.600006,448.222534,126407
2013-05-20,494.149994,500.200012,483.000000,486.399994,442.581055,22978
2013-05-21,489.000000,489.000000,473.500000,478.899994,435.756714,30818
2013-05-22,480.100006,483.750000,474.000000,476.600006,433.663971,15033
2013-05-23,473.000000,474.899994,461.000000,464.750000,422.881439,35533
2013-05-24,464.000000,469.850006,462.500000,465.000000,423.108978,110140
2013-05-27,462.000000,478.600006,462.000000,475.350006,432.526581,4925
2013-05-28,474.700012,475.500000,466.100006,468.200012,426.020660,15088
2013-05-29,471.950012,474.000000,461.000000,463.250000,421.516602,12173
2013-05-30,460.100006,460.100006,448.500000,453.649994,412.781403,33262
2013-05-31,452.250000,460.000000,442.500000,455.700012,414.646790,23971
2013-06-03,458.000000,459.000000,447.350006,451.500000,410.825165,13661
2013-06-04,452.000000,458.000000,448.100006,452.250000,411.507599,14471
2013-06-05,478.000000,478.000000,451.250000,458.700012,417.376526,19784
2013-06-06,458.100006,469.899994,456.049988,463.049988,421.334686,9652
2013-06-07,476.950012,476.950012,460.000000,467.299988,425.201782,9147
2013-06-10,485.000000,485.000000,455.000000,457.549988,416.330109,13645
2013-06-11,456.500000,458.950012,448.500000,451.600006,410.916107,79336
2013-06-12,452.100006,454.799988,449.700012,450.600006,410.006256,4573
2013-06-13,451.500000,464.500000,449.000000,455.450012,414.419312,4641
2013-06-14,457.600006,464.000000,454.000000,456.149994,415.056183,6469
2013-06-17,470.000000,470.000000,456.000000,462.750000,421.061646,7774
2013-06-18,465.299988,467.000000,457.000000,461.899994,420.288208,3774
2013-06-19,464.000000,464.450012,458.000000,459.049988,417.694946,9579
2013-06-20,454.000000,462.799988,452.149994,458.850006,417.513000,9184
2013-06-21,453.500000,459.700012,452.950012,458.200012,416.921539,8056
2013-06-24,457.000000,460.000000,450.500000,452.299988,411.553009,65590
2013-06-25,452.799988,454.000000,445.250000,451.700012,411.007141,5987
2013-06-26,457.000000,457.450012,447.049988,448.600006,408.186432,14296
2013-06-27,455.149994,456.350006,446.700012,447.700012,407.367493,7695
2013-06-28,453.200012,492.000000,437.049988,455.500000,414.464783,38924
2013-07-01,455.500000,458.100006,447.000000,448.500000,408.095428,17212
2013-07-02,449.500000,452.000000,444.899994,450.500000,409.915222,8981
2013-07-03,450.500000,450.500000,439.500000,444.200012,404.182831,13301
2013-07-04,446.000000,446.000000,441.000000,441.850006,402.044495,5599
2013-07-05,449.399994,449.399994,433.000000,443.549988,403.591339,12976
2013-07-08,449.000000,449.000000,422.000000,434.100006,394.992676,29174
2013-07-09,440.649994,461.350006,432.000000,455.600006,414.555786,20098
2013-07-10,455.500000,459.950012,448.950012,450.500000,409.915222,48962
2013-07-11,456.100006,457.750000,450.500000,456.200012,415.101746,10193
2013-07-12,458.000000,462.500000,452.000000,454.549988,413.600372,9857
2013-07-15,457.000000,462.000000,454.000000,458.250000,416.967072,8243
2013-07-16,457.000000,467.000000,454.899994,460.700012,419.196381,57572
2013-07-17,461.799988,466.000000,450.000000,457.250000,416.057098,11830
2013-07-18,455.000000,461.649994,455.000000,460.200012,418.741364,22716
2013-07-19,463.500000,466.000000,451.500000,452.700012,411.917023,13695
2013-07-22,453.000000,457.899994,446.399994,452.799988,412.008057,20553
2013-07-23,453.750000,456.000000,441.100006,444.350006,404.319244,35582
2013-07-24,449.950012,449.950012,441.000000,442.500000,402.635925,34880
2013-07-25,438.950012,438.950012,421.600006,423.049988,392.025543,41312
2013-07-26,425.000000,426.399994,412.100006,417.299988,386.697266,15972
2013-07-29,419.000000,419.000000,402.000000,413.799988,383.453918,20012
2013-07-30,411.000000,422.049988,403.750000,415.600006,385.121948,13858
2013-07-31,419.000000,430.850006,409.049988,429.350006,397.863678,111838
2013-08-01,410.049988,440.000000,402.000000,407.450012,377.569672,54606
