,index,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out
,^NSEI,SBIN.NS,TATASTEEL.NS,LT.NS,RELIANCE.NS,INFY.NS,BHARTIARTL.NS,TCS.NS,TATAMOTORS.NS,SUNPHARMA.NS,ITC.NS,COLPAL.NS,BRITANNIA.NS,DLF.NS,HAVELLS.NS,DABUR.NS,HINDZINC.NS,PIDILITIND.NS,PGHH.NS,TATAPOWER.NS,CUMMINSIND.NS
2013-01-31,6034.75,163.468781,340.102234,613.191467,401.490631,535.850281,329.262054,1233.331177,291.445313,352.729767,181.554459,602.263977,456.933228,260.189301,113.085999,127.142273,117.456512,224.425919,2434.086182,88.739189,441.29306
2013-02-01,5998.899902,161.748917,336.700012,609.81073,404.818787,532.28656,319.372559,1236.955933,275.454498,353.663177,182.587479,599.810608,447.263733,251.097656,112.364502,128.052505,117.319359,238.039215,2435.156006,89.792542,451.1586
2013-02-04,5987.25,157.742661,331.828979,610.44696,401.513275,531.643433,320.97229,1244.525635,285.57663,353.564911,181.318115,599.253052,445.746918,253.956345,114.72654,128.196198,115.993446,233.935928,2481.55127,88.03701,454.357056
2013-02-05,5956.899902,159.009933,331.576843,610.168701,396.10202,529.395935,314.864105,1247.92041,280.882294,368.204681,178.485458,604.539063,442.808167,255.830963,112.793961,128.24411,116.222046,232.391144,2445.903809,86.588722,448.635956
2013-02-06,5959.200195,157.481171,333.844421,601.717041,396.509613,533.257019,316.657776,1257.554688,279.904663,367.713379,179.901794,607.728638,441.670532,256.487061,112.003738,127.429695,115.856293,226.936172,2458.450928,86.895973,456.204102
2013-02-07,5938.799805,155.999359,327.922424,595.116028,395.264374,535.850281,310.355652,1272.786377,282.251343,368.204681,179.429977,604.784546,441.006989,253.253418,114.606277,126.232071,114.347519,227.998199,2431.459961,85.096603,460.348541
2013-02-08,5903.5,153.287186,325.445068,600.961792,391.030487,535.840393,312.003906,1305.313477,279.121796,366.534332,178.072983,594.412964,440.817383,251.941193,115.130226,125.609291,113.204498,228.336121,2438.122559,85.272148,458.456482
2013-02-11,5897.850098,153.83699,323.218933,592.51123,393.226685,536.340515,306.574371,1298.064941,284.50116,368.130951,176.53804,594.32373,445.367676,254.425034,117.749939,125.321877,113.021591,229.784363,2463.654541,85.667168,458.820496
2013-02-12,5922.5,153.974426,323.302673,594.558472,396.419037,529.27063,312.488678,1293.798096,291.983063,379.110748,177.069153,600.814331,452.145874,250.722778,117.681229,128.148331,114.210342,235.722046,2443.909668,84.877213,457.637604
2013-02-13,5932.950195,151.178421,315.827332,589.408752,398.02652,535.860291,316.027557,1317.058105,297.99707,380.953033,177.246216,595.661987,458.213043,242.193481,117.483681,127.860863,112.564392,242.721802,2451.690918,82.551208,447.856049
