Position,in,in,in,in,in,in,in,in,in,in,index,out,out,out,out,out,out,out,out,out,out
Symbols,BHARTIARTL.NS,INFY.NS,ITC.NS,LT.NS,RELIANCE.NS,SBIN.NS,SUNPHARMA.NS,TATAMOTORS.NS,TATASTEEL.NS,TCS.NS,^NSEI,BRITANNIA.NS,COLPAL.NS,CUMMINSIND.NS,DABUR.NS,DLF.NS,HAVELLS.NS,HINDZINC.NS,PGHH.NS,PIDILITIND.NS,TATAPOWER.NS
K,,,,,,,,,,,,,,,,,,,,,
0.5*S0,0.009666011848585426,5.71599777173404e-12,5.7419276532665683e-08,1.5578245399103102e-08,6.310840702592264e-17,4.1121267742579045e-07,0.0059927633076384546,5.472403743241006e-06,6.731792496760138e-06,2.6435361497689097e-05,1.1174573827994325e-28,1.9378332491910188e-06,1.2839424705443105e-12,0.00036404954537627536,3.428448639261877e-11,0.03691589724122857,1.2919669101031487e-05,1.2227663565565332e-05,6.655131802582178e-07,0.016446651228988196,2.4100594183171296e-05
0.6*S0,0.18776416173123645,7.234291264485714e-07,9.290449765032567e-05,8.104957616786529e-05,9.182561048028779e-10,0.0003211983334742005,0.14301308294445558,0.0017364338144640855,0.002380239193698959,0.009285305924920897,4.841359366965361e-16,0.002425586025222075,3.0997474589888213e-07,0.02972266138992008,1.309032168091955e-06,0.3450154018451803,0.0032395449059629197,0.0024737634293699254,0.0016996943412242102,0.32036613893752675,0.002345607227937224
0.7*S0,1.453636918522525,0.001436581406605901,0.011949638982427624,0.021739469756618446,3.542178087799714e-05,0.026102212256545354,1.2642807011223258,0.07985857202307578,0.11722796977047167,0.4553920458516014,4.826730317936802e-08,0.26539103857092305,0.0009222661781971737,0.5774254005563186,0.0012268423541151492,1.6610760565630383,0.12835250448457813,0.0855460026877568,0.29141373428219275,2.4846595815600487,0.050962052033949934
0.8*S0,6.198443124686058,0.1929551322848715,0.2989561978537507,0.85607442139192,0.02890781969994305,0.4912473451433206,5.873692624283628,1.0542027883364664,1.6151578856553659,6.257947095597899,0.004527654309597978,6.006768500790699,0.15853262806323354,4.434545323891875,0.10412991477434352,5.1923710850245755,1.5435255760193538,0.944695725417553,8.708084140528513,10.607104206797288,0.42006567995610267
0.9*S0,17.68881887017946,4.296466510869841,2.512618279973097,9.38909774198153,1.7872718804492997,3.488033367111793,17.706023586925625,6.054051071322974,9.517333759595175,36.817010045870916,3.8813146719491556,47.583786046755165,4.063681747690602,18.311141255028176,1.7820120935638144,12.108482038707606,8.379390034794795,4.870627425224583,81.25779962691911,30.292539962072368,1.8117263163303043
1.0*S0,38.266905573552606,28.91015585605129,10.163858933775316,43.811411173071406,19.868377492903534,12.865024122755273,39.63773656757576,19.833522358677612,31.63575506188272,122.27173785949367,144.75985556529668,186.37774364212032,29.34972935551434,49.589213670650736,10.487145162304586,23.013718604922857,26.58977469755436,15.00709225736746,347.813909732869,65.56359918233477,5.033716296448862
1.1*S0,68.19505458221983,90.45800674288694,25.384067925129415,116.98988749938746,75.38125068465376,30.716718756680223,72.11689886914627,44.60052692770333,71.67503260263277,276.89671497659606,805.739774049227,458.2970297471229,94.51231991774034,100.70777581294988,31.025737607642867,37.80930906730295,58.81112021482795,32.6829401921581,892.3043000821372,116.8734555892525,10.368371291418718
1.2*S0,105.97719139401318,179.85323223913838,46.6227397428346,220.54238664416107,157.6217244281636,55.36854082669683,113.43385056373103,78.28379698922384,126.23722347922285,487.5813352644102,1794.5892410663255,836.4098426390574,189.51190687123187,168.20155111465533,60.61546278076668,55.90125931734997,102.43572297398543,56.51142865204872,1656.5439327361255,181.65534141989951,17.442899450628204
1.3*S0,149.4096888563356,279.36217077578874,70.91001814482377,338.1447004560159,246.76317096510672,83.66763002912825,161.00601135368856,117.10243373805758,189.092450555573,730.2945890882847,2821.1874392347218,1269.406920544463,294.84257996830934,246.20324031700204,93.80083066338409,76.50510901119222,152.75202547326484,84.01258011827059,2528.1993505084356,256.12722427105086,25.61835680152977
1.4*S0,196.44715699451422,380.80121100758674,96.2612220117457,459.9200908015382,336.58077431280253,113.37390026942035,212.4608725583525,158.16352643656717,255.51559157643692,986.800070273051,3848.274326384162,1722.2477961065315,401.9752914655096,329.72900322478074,127.79665624382869,98.87384907809565,206.08626981163843,113.21952063464204,3435.05381410289,336.7791125723528,34.35889968589716
1.5*S0,245.5773224252439,482.4305641332703,121.88095737311238,582.5270398022103,426.41361231427254,143.4901185909995,266.08847924166787,200.0019317369326,323.15016999614465,1247.9944618395725,4875.344227197924,2180.3585893205354,509.2597248072468,415.7259891185846,161.89787606975028,122.40708660884826,260.5145894020792,143.07050379598923,4350.016584373281,421.01674871479224,43.34413864757677
