Position,in,in,in,in,in,in,in,in,in,in,index,out,out,out,out,out,out,out,out,out,out
Symbols,BHARTIARTL.NS,INFY.NS,ITC.NS,LT.NS,RELIANCE.NS,SBIN.NS,SUNPHARMA.NS,TATAMOTORS.NS,TATASTEEL.NS,TCS.NS,^NSEI,BRITANNIA.NS,COLPAL.NS,CUMMINSIND.NS,DABUR.NS,DLF.NS,HAVELLS.NS,HINDZINC.NS,PGHH.NS,PIDILITIND.NS,TATAPOWER.NS
Historical time period considered in M,,,,,,,,,,,,,,,,,,,,,
1,51.25971927528292,54.638463236741586,16.663524592316747,74.87771436342189,42.60918272292679,20.516482237034467,53.73948090515569,30.49593699738267,48.86410333303445,188.80684733190083,404.7637699065526,302.6495404226948,56.508826124348616,71.72472746883886,19.121269222277732,29.417093068515328,40.476714973499725,22.632626075557425,579.797033482494,87.83899684665414,7.342239521799762
2,47.18004035930102,68.81803028011745,15.205500932495653,80.66304546990318,57.75342131993648,28.230907568317804,54.68538827543182,36.10967655052929,46.58217189586952,169.23195638530774,412.60976016685527,278.53049689815043,57.12943328743711,62.8254997812644,20.88301619261361,30.25749958901403,41.52317847179182,23.591726186462893,525.743735085347,78.77367356720436,8.294739788613853
3,62.832076521061765,64.00537649259422,14.736401182391091,83.1963172727518,66.13829373365593,52.79276493707036,52.48314100223007,35.338826232529016,48.71148017384763,157.93773773252065,405.2098442949409,301.5518757316613,65.25790328987955,58.73903327747803,23.10175627025751,28.817903213448744,49.732707580579245,23.128345939353153,472.276125889638,68.77609087013593,7.45078447826112
4,57.30462534851233,61.734357577056244,15.590493690571606,90.54651589045602,66.03776575203597,46.70576196956927,54.78500196343026,36.909511913804465,50.76023240158963,152.24751233254142,413.23563063394704,277.1482901344816,65.77531495241419,60.02355716521845,23.35090426592606,29.82896677719677,47.99653470658865,25.0756550870762,443.7339468183054,67.39787626087536,7.928922714575016
5,53.05409316268867,87.3239795245363,15.271413775910133,85.01543904173377,65.47194423593794,43.532459925180206,57.91595198843055,41.14498319651696,53.93639368727111,148.13478305233798,425.3871999455687,296.63047932578365,68.23747079660188,67.96470948189972,24.459018871998666,37.25309711663917,51.2637761125755,26.01849145924632,456.33352106475104,64.07885477279717,7.911957189151828
6,52.09901977916542,84.58941100563266,22.077489688090168,82.86310087597064,67.13803563946124,40.6954519641215,56.156068054193895,39.22092377451631,52.04008346203818,161.316407841206,415.06958244333237,284.2703495070682,65.57050147465452,69.5397561799764,23.81557695840459,34.834804671087085,49.477431124735915,25.2116091038574,458.98431319212614,64.10667664594689,7.418076710887227
7,49.26559334652654,81.84828545208529,22.452733684293463,81.70688869594687,66.32533088066839,38.33641043467915,54.71180174805124,38.583654445176535,51.47032913700417,171.85969827620283,405.3489713256713,278.0866838404145,67.46672597604368,67.5989541754916,22.802041853156652,33.282015239790496,48.6967798490528,24.68185277599926,453.28543315605566,64.67011335271025,7.364069449908783
8,49.40316613389683,79.78785079022327,22.779249100200616,84.36348943569021,65.58837743735342,37.037410002038115,59.16826531085616,38.49849575053918,56.309639249487134,174.20039168029234,405.28846629282907,297.30335844535784,71.40845228135879,76.71003898972117,23.604973131838676,33.975232108772985,51.12315386631417,25.65995657595306,537.7017777773244,65.3801264408429,7.238726837543531
9,48.21788588696063,79.70661647780958,22.609512034059236,83.5677313183553,66.32912431159934,35.80402970789038,57.67004660611161,37.47254801222596,56.261594331591766,171.82925306024345,401.96611515685527,299.52844470267064,70.21880987022712,76.31646127130443,23.13816729535887,34.583230352162985,49.73305216278669,25.6473924933222,526.6158562290038,63.25094051925976,7.1193228999227784
10,47.510066419358395,78.00898647138479,22.308586614648732,85.93707962235328,67.8496704191706,34.53936130381277,55.91255537254477,36.870634109148625,56.370647525078994,169.6384388232841,402.3598017730046,294.7796074721891,69.32462229255805,74.24968761865932,22.55370483810094,33.95199118323819,48.39018980193197,28.59739692154639,547.6250243553068,62.05281843296859,6.945524910646142
11,47.15258578644233,77.76453736867586,21.902174302190275,83.83482947987898,73.79145085868436,33.340955083056286,56.261460561092576,39.226277156602976,56.611677676897955,176.1315917650411,397.4546067269757,291.551039251714,68.78711017414435,74.8774007184569,22.588232652970163,33.50660007120837,48.285382126280865,28.93995253706055,532.8083438673384,61.39270847824935,6.861449519272107
12,47.61680966902156,77.44945058411258,21.869467173847056,84.18320379439172,72.74329031247714,32.636077824262,54.68506231708437,39.12206730159747,57.00280840598839,182.34149068518218,403.75543640786873,294.9848235029958,67.35247257131982,74.19743054631829,22.255771106777928,33.22726926335781,48.297175515321214,28.945331923975573,536.0725474537176,63.089824164955076,6.824593745796598
13,47.001755593592634,76.18978522903069,21.840579779363964,83.18225175206294,71.25615832684912,32.004205874945455,54.95652969975146,39.191233325325186,57.93630761432581,181.28467514409476,413.10158568240877,295.5931667269001,65.98587697165203,73.67077101992231,22.696936722512447,33.40197883914618,49.88992477697042,28.956063395033226,557.2810733647984,63.749667118727416,6.779013496618582
