date,index,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out
,^BSESN,SBIN.BO,TATASTEEL.BO,LT.BO,RELIANCE.BO,INFY.BO,BHARTIARTL.BO,TCS.BO,TATAMOTORS.BO,SUNPHARMA.BO,ITC.BO,COLPAL.BO,BRITANNIA.BO,DLF.BO,HAVELLS.BO,DABUR.BO,HINDZINC.BO,PIDILITIND.BO,PGHH.BO,TATAPOWER.BO,CUMMINSIND.BO
31/01/13,19894.98047,190.183929,359.029388,613.621643,401.426941,535.696594,330.654236,1232.052368,294.568481,352.848236,181.422424,602.588989,458.353424,260.356415,112.866776,126.232887,117.58622,223.989502,2429.680176,88.823082,440.162415
01/02/13,19781.18945,190.183929,355.437317,610.440674,404.551208,532.276672,321.983551,1235.401611,278.73587,353.60965,182.455551,600.247131,448.35321,251.124893,112.49749,127.622154,117.266174,237.409546,2431.625488,90.095772,452.595642
04/02/13,19751.18945,190.183929,350.337494,609.744507,401.336365,530.625427,322.421997,1241.13623,285.434875,352.799103,181.12764,598.574158,446.789185,253.093048,114.412666,127.861679,116.168953,234.175247,2477.242432,88.033165,453.226288
05/02/13,19659.82031,190.183929,350.115753,609.884094,396.808411,529.799377,316.18692,1247.696777,280.74054,367.119354,178.265518,604.574158,443.187225,255.529785,112.231247,127.478447,116.306099,232.002945,2453.996582,86.716629,448.271027
06/02/13,19639.7207,183.502594,352.333099,602.36731,396.151855,532.939636,318.135345,1257.973389,279.860809,367.193054,179.651871,608.410645,441.76535,255.904663,111.621483,127.430542,115.894638,225.920456,2462.506836,86.848259,455.568726
07/02/13,19580.32031,183.502594,346.47934,594.989441,394.408539,535.897949,311.510559,1273.113159,282.354736,367.831696,179.445587,604.752686,441.623169,252.811874,114.249489,126.472427,114.61454,227.513443,2414.360596,85.136803,460.298798
08/02/13,19484.76953,183.502594,342.976013,600.278809,391.306885,535.609741,312.825775,1305.916016,279.273621,365.522736,178.02916,594.938477,440.627899,251.312347,114.799133,125.753807,113.197296,228.334137,2437.218262,85.224579,457.73111
11/02/13,19460.57031,183.502594,341.778625,592.722717,392.936981,536.06073,307.905914,1297.841553,284.212097,367.880798,176.583481,593.22113,445.225159,254.405121,117.392784,125.274757,112.694405,229.927155,2453.753174,85.663422,457.230652
12/02/13,19561.03906,179.299423,341.069031,594.492798,396.627289,529.145508,313.410339,1292.15271,291.743347,378.320068,177.084564,599.421692,450.059387,250.703156,117.384193,128.149124,114.157356,235.864822,2432.5979,85.005112,456.002258
13/02/13,19608.08008,176.013412,333.618835,589.620361,397.668701,535.801819,317.112427,1312.613892,301.092468,380.850098,177.14389,595.16156,457.216003,242.268295,117.255379,128.244949,112.648682,242.092117,2451.126953,82.723137,446.493713
14/02/13,19497.17969,172.836655,337.521332,573.57312,387.209106,540.344543,304.349976,1327.707886,290.178589,382.594055,177.350128,584.901306,467.216278,238.004013,119.239273,127.813774,112.51152,245.519531,2455.941895,83.381363,439.89682
15/02/13,19468.15039,174.311844,333.441498,574.269409,382.545288,535.014343,308.100769,1322.294312,297.366821,386.180267,177.468765,587.577942,463.946014,233.177368,119.849037,127.382614,111.780029,247.788391,2451.126953,84.873505,438.122559
18/02/13,19501.08008,176.380264,341.734283,583.25708,383.654663,533.353027,305.762604,1307.475708,298.296021,386.990845,177.232391,594.090881,466.789734,245.033051,117.487259,126.184975,111.962906,244.360977,2465.813965,84.4785,452.863068
19/02/13,19635.7207,176.380264,343.064697,582.739929,384.333832,541.507019,299.819794,1323.762207,300.154358,389.127838,178.05838,602.009155,472.903595,253.046188,116.095955,126.472427,111.917198,246.243637,2458.227539,85.049042,458.368011
20/02/13,19642.75,175.7285,337.077881,579.3797,396.355591,541.670654,296.702271,1332.387329,297.268982,391.535034,177.055359,604.105713,472.524475,262.137115,117.332672,126.376602,112.054352,251.505447,2474.714111,85.400116,457.73111
21/02/13,19325.35938,172.497116,322.975677,566.811768,387.933563,539.154297,288.421295,1328.717041,291.205627,390.896393,174.990005,596.187561,477.832703,255.295471,112.935486,125.370583,108.945534,244.650604,2455.990479,85.356186,450.997711
22/02/13,19317.00977,172.497116,323.241791,570.511108,390.605072,544.878601,301.816986,1334.543579,286.559753,398.560089,172.363373,587.287964,473.70932,263.355469,113.064308,126.184975,108.214058,244.360977,2458.616211,85.356186,449.268951
25/02/13,19331.68945,172.497116,320.137512,557.386292,386.665741,560.370361,299.137848,1350.004517,292.476807,403.153381,172.363373,581.845642,471.48175,254.639435,111.741722,123.166885,106.339622,240.257736,2473.011475,86.146111,438.668488
26/02/13,19015.14063,172.497116,310.292572,543.784851,373.081848,568.611206,303.27829,1371.108521,282.843079,392.615814,171.478104,577.406799,464.088226,252.437027,109.963943,123.071068,106.796799,235.333817,2467.613525,85.400116,437.986023
27/02/13,19152.41016,172.497116,316.412354,560.946045,376.364624,559.717407,313.26416,1360.785889,279.713501,392.664917,174.163147,579.726501,465.699615,260.122131,110.341835,123.645958,109.859886,239.34053,2463.187744,85.487885,438.941437
28/02/13,18861.53906,162.771713,303.640625,543.187988,368.87085,558.218994,315.212677,1389.872681,281.08255,394.236969,174.163147,569.064819,455.272827,259.41922,108.907585,121.154823,105.516701,232.630478,2455.455322,83.030289,436.621124
01/03/13,18918.51953,162.771713,302.975433,556.829773,366.53894,558.68927,302.937378,1375.926025,285.326141,392.886017,171.684372,581.800842,473.804108,243.205505,106.734772,124.125008,107.985466,241.030106,2473.740967,85.268425,452.499115
04/03/13,18877.96094,162.771713,297.077332,542.790649,367.919952,557.6427,307.370087,1385.697754,283.430206,392.321045,172.865326,605.220886,472.666656,234.958069,108.005836,123.45433,105.196678,236.347549,2445.194092,85.268425,441.944153
05/03/13,19143.16992,166.295807,305.059692,554.363586,374.145935,561.090393,313.65387,1413.269897,293.993164,392.443878,172.422699,604.641113,472.382263,243.346069,106.253822,128.101212,105.150948,240.354248,2431.7229,86.497177,441.898621
06/03/13,19252.60938,169.0784,312.9534,570.192444,377.99469,569.830566,313.410339,1429.373657,302.452637,391.878937,169.70755,604.618774,481.90863,252.62442,107.121246,127.191025,109.72274,246.34021,2447.382324,86.190041,442.308105
07/03/13,19413.53906,169.254013,310.647369,582.023987,378.379547,577.188416,312.192566,1459.331421,299.22522,398.216187,172.18631,594.113281,490.86615,261.809082,108.169006,127.238922,109.539871,249.671082,2426.567871,85.970566,453.636505
08/03/13,19683.23047,172.036606,317.964539,595.009094,385.329987,570.551331,314.774261,1453.55127,297.073273,401.974335,175.756668,594.313965,499.112823,260.356415,108.203354,129.298874,109.951324,246.919495,2438.96875,86.716629,458.504517
11/03/13,19646.21094,172.122452,318.585419,598.866699,382.024567,565.855103,313.751312,1438.319824,294.775085,409.171356,175.344101,586.685669,507.975677,267.760376,108.675713,128.101212,109.494148,245.133331,2436.537354,88.691475,457.412598
12/03/13,19564.91992,172.122452,315.525482,595.924438,383.745178,560.447327,307.07785,1434.236572,297.611023,406.469391,176.376328,586.061157,510.013641,265.979645,108.186195,127.622154,109.951324,243.636871,2441.449219,85.926735,460.369812
13/03/13,19362.55078,170.096985,312.155151,594.293274,382.092468,549.853088,309.415955,1422.262451,294.188873,411.553955,177.940613,584.321289,509.729309,262.886902,107.705254,128.436569,108.716949,243.49202,2431.625488,85.926735,454.409882
14/03/13,19570.43945,176.075851,316.722809,605.727539,389.699493,552.244934,306.882935,1438.594971,294.335175,407.746643,178.38327,587.778625,507.786072,266.823151,107.791138,127.717995,110.088478,242.381744,2440.476563,88.384239,455.410797
15/03/13,19427.56055,176.075851,314.283783,599.145935,382.069855,553.935303,303.03479,1441.393555,284.701416,409.122162,178.294739,586.172668,512.572937,255.623505,109.148064,131.406754,109.036972,241.609375,2437.558594,89.437553,451.088745
18/03/13,19293.19922,176.075851,309.62735,599.901123,376.545685,549.651672,300.063385,1435.842041,280.300659,408.99939,179.474808,592.26178,518.118103,253.467957,109.251129,131.933716,107.116829,252.326096,2470.920654,86.365578,447.722076
19/03/13,19008.09961,171.946838,301.157196,584.112549,373.579895,548.700439,285.839569,1417.720337,275.361206,412.045197,180.271561,594.380859,501.814362,242.783752,107.636543,129.873764,105.973885,255.222534,2462.215332,85.882797,453.227051
20/03/13,18884.18945,171.946838,296.944305,571.703796,372.447937,551.159241,273.905243,1428.731201,279.517761,412.266235,181.422424,587.689453,500.155518,233.036789,105.068649,129.873764,105.379547,255.656967,2460.318848,86.453339,451.907654
21/03/13,18792.86914,171.946838,290.558411,555.437378,368.372772,552.552246,290.321045,1432.126099,267.733093,408.802856,179.976746,588.269409,503.046692,224.367615,104.081009,128.005417,104.373756,253.87088,2454.288086,82.94252,447.995087
22/03/13,18735.59961,162.654633,285.680298,556.133606,367.127563,549.498047,286.618958,1413.912354,264.456207,402.981384,180.124603,584.07605,495.747803,216.541931,101.942528,128.005417,103.962288,254.305313,2437.996094,84.127434,436.257202
25/03/13,18681.41992,162.654633,279.161346,543.944092,366.629517,548.114929,281.01712,1417.628784,264.651978,402.981384,178.38327,571.540649,492.619781,226.898071,103.101944,125.274757,105.470985,248.753845,2458.373535,83.995735,437.712982
26/03/13,18704.5293,162.654633,271.578064,531.733948,354.720947,548.287903,289.395508,1428.960449,269.199982,403.865723,180.655762,552.982971,492.619781,221.368546,104.931236,128.676117,106.476768,248.319427,2460.804932,83.161987,441.352722
28/03/13,18835.76953,162.654633,276.988373,542.830017,350.328796,555.126282,284.280823,1442.21936,263.380768,402.023468,182.426331,556.038635,492.619781,219.915878,111.25219,131.310928,110.774254,254.015701,2459.199707,84.610115,452.317108
01/04/13,18864.75,163.177582,278.939606,554.682129,352.343781,565.374023,285.839569,1426.758423,259.664063,399.886444,180.862045,570.492371,501.624817,237.301071,108.091721,135.718307,109.539871,254.45015,2450.737793,84.083504,455.18335
02/04/13,19040.94922,163.177582,283.684692,565.678955,359.497925,570.541321,284.670532,1437.493652,260.935272,418.308746,181.245361,580.172607,498.307129,239.831543,107.842651,135.382996,110.042747,261.353302,2480.258057,83.688591,452.0896
03/04/13,18801.64063,163.177582,281.156921,548.656372,351.732513,569.360352,273.418121,1416.06897,251.938065,424.744263,181.688004,585.280457,492.430176,229.99086,105.901703,137.730377,109.036972,260.339508,2467.710938,84.302963,454.546387
04/04/13,18509.69922,161.265274,269.981598,541.458252,347.181885,553.772522,266.695923,1382.669556,252.133789,422.410797,176.937592,592.064941,486.363708,220.47821,103.368172,134.856003,106.933945,253.195038,2458.275879,83.205818,450.95224
05/04/13,18450.23047,160.500381,273.618042,536.406799,353.339905,550.12262,263.675781,1376.338379,249.688278,422.287964,172.009277,597.696228,488.401642,218.322617,103.299469,137.20343,106.522491,250.974457,2463.430908,83.513062,454.136932
