Position,in,in,in,in,in,in,in,in,in,in,index,out,out,out,out,out,out,out,out,out,out
Symbols,BHARTIARTL.NS,INFY.NS,ITC.NS,LT.NS,RELIANCE.NS,SBIN.NS,SUNPHARMA.NS,TATAMOTORS.NS,TATASTEEL.NS,TCS.NS,^NSEI,BRITANNIA.NS,COLPAL.NS,CUMMINSIND.NS,DABUR.NS,DLF.NS,HAVELLS.NS,HINDZINC.NS,PGHH.NS,PIDILITIND.NS,TATAPOWER.NS
K,,,,,,,,,,,,,,,,,,,,,
0.5*S0,269.62408436271375,533.8891781903508,134.87483288669,644.6581516107535,471.89539661501163,158.77572646835227,292.6318769320976,221.25621579175626,357.50617936736836,1380.6728546715653,5395.352057170628,2412.760900328121,563.5795483844184,459.3353329486394,179.16706803002086,132.91360612903742,288.1684890576418,158.23778213675857,4813.891465040325,462.2541514833887,47.90428571326964
0.6*S0,218.4778615827695,432.2570047518434,109.19989229962255,521.9398629637864,382.0644783389322,128.55119366690096,237.06406928549245,179.1391876170375,289.4529880018846,1117.8545697893696,4368.282428604753,1953.4655036543695,456.29545837127534,371.92480054030284,145.06048054501605,107.92704248000067,233.31540851047316,128.1177964543434,3897.511495944117,374.5656095375291,38.787459542438484
0.7*S0,168.41941340973375,330.62626644788986,83.53671559996141,399.2431517030019,292.2335954827972,98.35212109225199,182.48050893742817,137.09855061911662,221.5122708595767,855.4731327765369,3341.2128000871453,1494.4306487849735,349.01229000436217,285.03261225928816,110.95511728433533,83.9484399810778,178.58421429764633,98.07842147542075,2981.419541859019,288.7374415465837,29.71692830977959
0.8*S0,121.8398986860704,229.1856108368372,58.148688724686906,277.3591169736725,202.43154960371862,68.59241263656668,131.38509289434768,95.95413569930054,154.9546359025768,598.4481440735237,2314.147699127314,1040.8742059252509,241.8858100431305,201.44984116244234,76.95143156275287,62.18507185589854,125.14308019677571,68.8151239799696,2073.4545441402297,208.8674247382528,20.966884260236824
0.9*S0,82.00595350173677,131.65694805349096,34.6873173726604,163.17377061329705,114.35899538747026,41.364345069963036,87.51259589074755,58.83522484615753,94.80124690363164,366.1796632710366,1290.9548575790795,623.1534031492729,138.50686883964136,127.88654607339765,44.52272494753959,43.806519655940804,77.12263748314564,42.61860846159561,1229.622591501582,140.56039905995976,13.239397219146099
1.0*S0,51.25971927528292,54.638463236741586,16.663524592316747,74.87771436342189,42.60918272292679,20.516482237034467,53.73948090515569,30.49593699738267,48.86410333303445,188.80684733190083,404.7637699065526,302.6495404226948,56.508826124348616,71.72472746883886,19.121269222277732,29.417093068515328,40.476714973499725,22.632626075557425,579.797033482494,87.83899684665414,7.342239521799762
1.1*S0,29.863547354123256,14.554139961646342,6.208700149525001,25.33782100877295,8.291137637679071,8.143323282387342,30.513815240484178,13.14418243027896,20.847816000899684,80.60428069624436,38.67405982460741,115.27100620575493,14.38732636345793,35.40339859095707,5.553272873613338,18.918020377254663,17.841753318367978,10.186026792167098,207.905755706724,51.156391820003876,3.55774683930472
1.2*S0,16.32136323608961,2.3171912959669214,1.77233853308433,6.171950472581415,0.7006931041914584,2.5702917638318468,16.125938968827,4.708693355669965,7.354442004604778,28.46135723129862,0.4538982758298289,34.08599877574659,2.1028229938328025,15.457282872480846,1.036409252734373,11.715307473660872,6.61004890512001,3.892068033876697,55.763720235676374,27.945816217082722,1.5131273210492893
1.3*S0,8.429539768585045,0.1939556706863783,0.3845835009275902,1.055894603471458,0.011221364136842382,0.6445273776912828,7.993271792542501,1.4085709683742493,2.1541042080700947,8.347067302414416,-0.01753212164546447,7.785256359211417,0.14940576779367376,6.019081054646733,0.11518834134919054,7.024494013862366,2.070044231993691,1.2707722819175657,11.03746988294813,14.425237634666104,0.5694369944859403
1.4*S0,4.142686976936716,0.0008217405532615629,0.06075393370374638,0.11291526802883212,-0.0020935651651026177,0.12594402941118688,3.743305030964464,0.35090453075428485,0.5216803560494192,2.0250047344215005,-0.00027353808067293733,1.3283115993364163,-0.0019730581224535193,2.104952942244097,0.004425127791213068,4.098570927125124,0.5479813979619159,0.35526558010798226,1.5102653523630636,7.084664502400017,0.19083220138841206
1.5*S0,1.948531477839552,-0.0019992956943289397,0.005455860924597156,0.001494587735866304,-0.0001738406924993302,0.0173087624183359,1.6660837480377637,0.0705506949901542,0.10069390287207192,0.39185254818310256,-1.2901931071012014e-06,0.14128449139744248,-0.0016300395018737923,0.6620478158669627,-0.0009438402900284193,2.3371453042369197,0.11999381599719605,0.08380152327418422,0.09136749771617048,3.3298392112713486,0.056923485603108226
