Position,in,in,in,in,in,in,in,in,in,in,index,out,out,out,out,out,out,out,out,out,out
Symbols,BHARTIARTL.BO,INFY.BO,ITC.BO,LT.BO,RELIANCE.BO,SBIN.BO,SUNPHARMA.BO,TATAMOTORS.BO,TATASTEEL.BO,TCS.BO,^BSESN,BRITANNIA.BO,COLPAL.BO,CUMMINSIND.BO,DABUR.BO,DLF.BO,HAVELLS.BO,HINDZINC.BO,PGHH.BO,PIDILITIND.BO,TATAPOWER.BO
K,,,,,,,,,,,,,,,,,,,,,
0.5*S0,269.49280370599,532.4802293193873,134.79798416970795,643.9920779469313,471.89539661501163,158.57079153919523,292.45594176821095,220.92319199967523,375.2671393582301,1380.2588017363914,17448.84710628283,2416.0911417869033,561.3252178946117,459.79153038745864,178.60348540753236,132.91878302589137,288.0147988754759,158.31461927661582,4806.283340288515,462.4284508887019,48.08359987611624
0.6*S0,218.32347704434403,431.11626589701575,109.13763365205617,521.4005788805451,382.0644783382686,128.3852770335494,236.96585776893494,178.86900440586973,303.832762940928,1117.5123811568906,14127.250901539395,1956.1605900496597,454.4702674861203,372.30711468474385,144.60418139877035,107.9579078227668,233.19196288297115,128.17797781242703,3891.350029835624,374.64501172372013,38.93229746291266
0.7*S0,168.07780471010898,329.753489258011,83.48593169348874,398.8298148809174,292.2335777511728,98.22549847586788,182.61467977832422,136.87617353418574,232.50839369503552,854.9648016728354,10805.65469680497,1496.406949856526,347.6172694656309,285.45811870047794,110.60518781833338,84.04392631804214,178.51083447445467,98.07154426932195,2976.4611549417086,288.515804440396,29.82341424579141
0.8*S0,121.07119374799129,228.5633996861759,58.06993064967932,277.05520259169384,202.42326397941656,68.50716777063846,131.97990270983905,95.68685471447532,162.58591920001743,596.0375948442461,7484.062398157745,1041.167859564157,240.99153367170993,202.25595170037593,76.65737685409914,62.37647462388489,125.21841874759463,68.4428992472524,2064.746268013161,208.04986001286227,21.022432334100444
0.9*S0,80.72652163911533,131.13474752401055,34.47328908106465,162.91484263553423,114.12884000055624,41.32262041162838,88.64433947055954,58.372687519374324,99.30637848638025,358.7027798144759,4170.213550024295,619.3474893866196,138.69115544587737,129.3583468441309,43.911408562878705,44.09043402900025,77.47720241551349,41.41708582194801,1197.8408436855589,139.05377823314734,13.234497336088381
1.0*S0,49.66123797337309,54.067829844233756,16.310218965548415,74.62798286511781,41.78666755708696,20.509283069875465,55.214014911049105,29.86611859248154,50.97164267209848,176.8852497325131,1259.6972539022208,294.9375794953712,58.087431739841236,73.66215841213682,17.95199653301762,29.75622012782432,41.05277145499264,20.740596132401407,520.5395210708975,85.89531168736539,7.292222131999303
1.1*S0,28.27210318953246,14.157904056017628,5.890009578271048,25.15685427178323,7.670974907483071,8.150818197968363,32.00465248092229,12.570671182753273,21.580193688368638,69.42276690842141,97.6630945097786,107.94626988662503,15.843292140931112,37.264974031855616,4.595887038650048,19.263123620855524,18.404064539360178,8.385109153831593,155.54912804157175,49.19379107865632,3.495722434517951
1.2*S0,14.99277665562198,2.182733616808534,1.5981634932235593,6.088481987143439,0.570127138373536,2.577780546477044,17.376682668048318,4.34410089334061,7.524409371658237,21.52823513080091,0.42646534703311545,29.936499911802684,2.6361714918703285,16.841342803843418,0.6788327553502711,12.026395744542867,6.991645036676715,2.7236116993921513,30.551170495489487,26.29329704217031,1.464089325848402
1.3*S0,7.463105633466398,0.17196131913232549,0.3218137286456404,1.031321817496476,0.0044830523847521064,0.6482314525099149,8.902813043774103,1.236744791825842,2.1687266853488865,5.264458547670529,-0.025568833281426784,6.226168073185647,0.2393107891962032,6.8568820378882265,0.049238264259749975,7.27990420909525,2.265101761026017,0.7112138586998249,3.7020650394921404,13.215012631469278,0.5400133845187103
1.4*S0,3.5124957741812324,-0.00040610549338948587,0.04526001602980312,0.10833894621971041,-0.0016121681933355947,0.12717704522892426,4.334381726141956,0.2882419839488257,0.5139600967857305,0.9923802497267928,-0.00017750659519131032,0.9213429121533068,0.003209809004141917,2.53379727188792,-0.0005452000908228172,4.2934774808246985,0.6268642217423483,0.14715362049069292,0.18601217726305208,6.290535497807596,0.1764567690657124
1.5*S0,1.5723431365959826,-0.0018168759830890502,0.002985518090360184,0.0010715686323012896,-0.00010329697101192116,0.017600466457640795,2.016974764987431,0.052575286755577544,0.09609967181877188,0.1279522005118814,-3.582360362632469e-07,0.07024852307782936,-0.002363927299907753,0.8525808867566909,-0.0005341975070201621,2.4774942966142035,0.14586152353972714,0.022277539442904004,-0.02625886579780712,2.8527996679808467,0.050990056311500886
